SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733468832.178761, 7.174375, -7.360374, 0.433799, -0.630657, 0.279199, -0.100857, -25.748550, -84.741623, -615.378357
1733468832.188745, 7.340173, -7.244256, -0.086640, -0.611008, 0.276252, -0.108322, -25.985489, -84.909119, -615.994873
1733468832.198746, 7.647379, -7.193678, -0.592415, -0.515262, 0.235526, -0.099462, -25.955887, -84.771637, -616.070435
1733468832.208781, 7.878569, -7.298125, -1.026813, -0.347634, 0.129650, -0.105939, -26.078964, -84.823776, -615.894165
1733468832.218763, 7.898022, -7.616404, -1.492336, -0.011667, -0.113833, -0.121470, -25.947083, -84.802643, -616.507324
1733468832.228774, 7.576900, -7.990199, -1.971924, 0.369872, -0.198042, -0.159324, -25.583176, -84.640137, -616.071167
1733468832.238778, 7.371148, -7.975834, -1.783680, 0.625344, -0.221274, -0.180713, -25.444382, -84.631210, -614.691040
1733468832.248773, 7.173627, -8.006510, -1.156250, 0.739696, -0.186880, -0.197012, -25.369537, -84.592972, -615.177429
1733468832.258773, 6.765864, -8.042572, -0.746692, 0.776515, -0.100308, -0.227908, -25.280502, -84.625488, -614.289795
1733468832.268768, 6.130503, -8.152706, -0.221763, 0.758813, -0.027967, -0.314807, -25.439560, -84.195541, -614.510193
1733468832.278763, 5.665429, -8.271667, 0.147692, 0.697878, 0.038591, -0.443197, -24.975494, -84.422012, -614.591248
1733468832.288755, 5.524171, -8.073098, 0.342969, 0.603170, 0.083011, -0.579462, -24.760101, -84.298508, -613.194763
1733468832.298553, 5.759102, -7.870788, 0.454898, 0.497352, 0.067818, -0.695396, -24.454071, -84.279495, -613.551880
1733468832.308778, 6.191256, -7.579294, 0.129437, 0.421385, 0.073121, -0.770628, -23.875824, -84.057327, -612.677673
1733468832.318760, 6.529886, -7.124695, -0.549020, 0.417959, 0.116473, -0.797723, -23.616028, -83.773239, -613.162598
1733468832.328748, 6.792949, -6.829610, -1.187075, 0.520570, 0.128666, -0.794528, -23.537064, -83.770447, -612.816101
1733468832.338771, 6.660070, -6.748506, -1.184531, 0.700628, -0.042042, -0.827905, -23.100662, -83.692154, -612.027100
1733468832.348753, 6.218191, -6.613832, -0.879719, 0.907371, -0.338321, -0.924450, -22.565781, -83.433334, -612.082092
1733468832.358760, 5.646276, -6.429928, -0.768688, 1.108854, -0.625367, -1.073830, -21.952255, -83.076706, -610.881348
1733468832.368765, 5.033659, -6.217592, -0.785298, 1.283651, -0.825058, -1.262032, -21.226486, -82.564590, -611.032227
1733468832.378776, 4.544045, -6.116287, -0.778564, 1.393742, -0.907104, -1.473194, -20.681442, -82.252899, -610.818726
1733468832.388763, 4.386926, -5.893776, -0.598102, 1.417892, -0.904031, -1.673613, -19.888077, -81.731079, -609.987671
1733468832.398564, 4.624550, -5.481225, -0.313940, 1.377970, -0.898721, -1.850744, -18.998108, -81.304153, -609.749817
1733468832.408764, 5.063737, -5.044733, -0.041001, 1.328526, -0.952385, -1.976970, -17.955383, -80.699646, -609.291321
1733468832.418773, 5.575198, -4.618864, 0.041150, 1.304619, -1.046629, -2.056204, -16.982590, -80.300842, -608.599670
1733468832.428764, 5.881057, -4.311957, 0.011821, 1.295056, -1.112878, -2.108730, -16.240036, -79.673386, -609.464844
1733468832.438762, 5.844546, -4.009390, -0.026037, 1.251785, -1.103412, -2.152229, -15.185181, -78.861557, -607.761841
1733468832.448765, 5.657798, -3.781043, 0.179565, 1.143505, -1.084126, -2.204169, -14.143402, -78.106354, -608.336121
1733468832.458766, 5.394735, -3.523217, 0.416741, 1.011047, -1.090473, -2.281077, -13.220352, -77.318741, -607.475647
1733468832.468759, 5.364508, -3.221099, 0.135272, 0.905709, -1.049402, -2.354108, -12.088654, -76.860306, -607.483215
1733468832.478755, 5.619341, -2.867954, -0.244508, 0.858667, -0.979043, -2.410666, -11.374878, -75.858658, -607.757690
1733468832.488766, 5.860557, -2.453608, -0.490063, 0.834220, -0.851724, -2.457994, -10.420059, -75.274063, -606.937256
1733468832.498767, 6.070947, -1.851017, -0.601693, 0.811045, -0.710654, -2.478225, -9.306091, -74.340683, -607.993164
1733468832.508682, 6.013786, -1.264288, -0.106392, 0.783324, -0.746420, -2.519417, -8.493637, -73.629578, -607.015320
1733468832.518764, 5.938967, -1.092953, 0.359280, 0.775001, -0.936676, -2.611526, -7.917831, -72.610229, -606.814697
1733468832.528772, 6.101174, -0.979228, 0.141557, 0.782963, -1.092224, -2.724903, -6.749008, -71.654648, -607.711365
1733468832.538746, 6.177190, -0.642993, -0.239271, 0.791878, -1.179908, -2.821839, -5.936234, -70.662216, -607.048950
1733468832.548760, 6.145467, -0.371401, -0.265158, 0.770632, -1.215692, -2.933662, -4.860672, -69.431580, -608.214966
1733468832.558755, 6.562956, -0.198419, -0.339677, 0.664319, -1.146949, -3.029093, -4.116699, -68.245880, -607.640869
1733468832.568760, 7.539341, 0.639551, -0.195427, 0.519148, -1.124884, -3.050884, -3.307297, -67.119247, -607.512390
1733468832.578762, 8.639177, 1.595735, 0.086042, 0.407843, -1.239403, -2.985149, -2.588821, -66.068085, -608.838867
1733468832.588768, 9.192986, 1.972373, -0.017059, 0.372437, -1.415565, -2.853225, -1.529968, -65.050171, -608.933533
1733468832.598763, 9.366416, 1.747318, -0.383820, 0.327930, -1.486086, -2.718936, -0.781113, -63.863556, -609.604065
1733468832.608762, 9.241169, 1.611597, -0.364667, 0.195681, -1.538040, -2.574708, -0.054260, -62.930588, -609.916992
1733468832.618762, 8.797943, 1.454029, -0.313940, 0.017080, -1.500612, -2.469651, 0.434296, -62.060104, -610.547363
1733468832.628773, 8.407239, 1.357213, -1.085471, -0.208761, -1.102335, -2.411892, 1.006058, -60.972244, -611.115662
1733468832.638749, 8.632144, 1.935862, -1.431433, -0.478779, -0.574548, -2.345248, 1.335556, -60.260925, -610.792725
1733468832.648768, 9.253440, 3.017143, -1.082030, -0.736123, -0.135488, -2.272934, 1.574066, -59.337936, -611.805969
1733468832.658767, 10.150517, 3.878158, -0.880617, -0.895840, 0.070301, -2.191360, 1.764587, -58.628830, -612.040466
1733468832.668762, 11.188853, 4.808754, -0.742502, -0.901893, -0.002714, -2.088239, 1.759567, -57.945755, -611.098022
1733468832.678760, 12.046276, 5.663334, -1.063474, -0.810052, -0.151441, -1.976647, 2.198853, -57.083176, -612.388062
1733468832.688744, 12.493094, 6.262184, -1.524358, -0.685827, -0.284141, -1.876536, 2.190170, -56.469910, -612.042236
1733468832.698631, 12.731167, 6.797139, -1.852214, -0.562459, -0.281952, -1.802028, 2.513611, -55.565231, -612.764954
1733468832.708077, 12.917167, 7.935132, -2.058565, -0.512888, -0.090237, -1.749331, 2.539749, -54.885666, -612.578247
1733468832.718802, 13.478458, 9.411158, -1.592892, -0.543714, 0.047027, -1.681782, 2.702759, -54.232468, -611.824402
1733468832.728755, 14.545374, 10.934169, -1.343895, -0.547260, 0.032134, -1.588729, 2.823227, -53.831482, -612.462952
1733468832.738750, 16.156522, 12.271331, -1.616535, -0.425653, -0.150850, -1.406972, 2.715317, -53.289093, -612.744141
1733468832.748749, 17.873164, 13.124116, -1.894262, -0.167664, -0.535887, -1.116977, 2.983749, -52.722610, -613.492981
1733468832.758750, 19.111116, 14.006379, -2.347365, 0.141033, -0.908108, -0.741369, 3.239517, -52.410141, -613.805847
1733468832.768764, 20.119075, 14.506468, -2.796876, 0.404139, -1.162595, -0.249902, 3.250290, -52.488998, -613.336182
1733468832.778751, 20.719272, 14.344710, -3.104232, 0.586511, -1.238236, 0.317504, 3.776566, -52.965027, -614.155212
1733468832.788751, 20.833595, 14.082694, -3.475034, 0.661115, -1.059599, 1.026106, 3.354919, -53.581955, -614.879456
1733468832.798745, 20.752042, 14.020295, -3.576788, 0.664693, -0.728009, 1.821355, 3.453705, -54.550018, -614.160889
1733468832.808753, 19.843143, 13.150153, -3.345598, 0.613868, -0.387102, 2.572057, 2.730911, -55.944916, -614.796631
1733468832.818760, 18.429068, 12.307693, -2.726098, 0.517443, -0.081767, 3.225168, 2.155151, -57.446289, -614.848511
1733468832.828754, 16.609624, 11.575666, -2.025644, 0.384160, 0.188468, 3.733053, 1.759918, -59.304016, -613.897217
1733468832.838747, 14.795568, 10.743232, -1.228076, 0.215595, 0.359503, 4.093365, 1.055878, -60.979324, -614.590210
1733468832.848749, 13.257293, 9.845855, -0.743250, 0.078511, 0.438801, 4.331810, 0.261658, -62.734894, -614.743774
1733468832.858740, 12.009615, 9.081057, -0.616357, 0.000546, 0.442339, 4.484351, -0.985916, -64.526718, -614.496033
1733468832.868746, 11.247660, 8.280795, -0.807445, -0.009778, 0.413612, 4.610165, -1.801071, -66.600037, -613.835266
1733468832.878738, 10.516680, 7.776068, -1.183783, 0.079169, 0.417113, 4.729910, -1.801071, -66.600037, -613.835266
1733468832.888747, 9.549423, 7.240964, -0.990002, 0.203895, 0.345714, 4.814125, -2.889725, -68.186981, -614.354065
1733468832.898749, 8.667309, 6.404489, -0.165649, 0.296045, 0.130756, 4.850657, -4.449188, -69.969009, -614.433838
1733468832.908756, 7.851934, 5.692813, 0.327856, 0.355162, -0.069558, 4.867514, -5.472519, -71.662857, -614.346008
1733468832.918765, 7.055563, 5.357774, 0.532411, 0.406830, -0.224660, 4.884897, -6.914459, -73.372620, -613.358337
1733468832.928742, 6.666206, 4.784662, 0.910395, 0.412920, -0.405280, 4.929654, -8.654037, -74.866699, -614.220703
1733468832.938751, 6.321291, 4.225616, 0.987010, 0.423648, -0.589384, 4.988224, -9.992676, -76.435394, -614.140991
1733468832.948771, 5.858312, 3.940557, 0.722001, 0.495821, -0.727940, 5.092838, -11.583542, -77.846405, -613.785095
1733468832.958751, 5.146785, 3.606865, 0.464774, 0.604268, -0.779742, 5.184062, -13.636887, -79.411499, -614.458374
1733468832.968748, 4.638915, 3.024625, 0.444573, 0.674444, -0.778706, 5.267186, -15.146866, -80.939835, -613.398560
1733468832.978755, 4.700566, 2.721908, 0.772130, 0.695379, -0.817311, 5.425443, -17.641617, -82.081100, -614.104248
1733468832.988745, 4.775086, 2.962226, 1.048810, 0.681601, -0.867439, 5.637918, -19.679245, -83.298279, -614.106689
1733468832.998749, 4.964377, 3.092710, 1.103727, 0.633258, -0.930297, 5.945291, -22.079544, -84.524765, -613.843994
1733468833.008755, 4.732738, 2.985869, 0.882114, 0.602907, -0.941344, 6.297868, -24.847992, -85.473801, -613.989197
1733468833.018764, 4.101118, 2.784457, 0.451756, 0.603972, -0.859597, 6.684128, -27.786835, -86.536377, -614.167969
1733468833.028765, 3.254169, 2.683002, 0.541538, 0.560419, -0.735411, 7.094596, -31.068756, -87.251877, -613.657959
1733468833.038737, 2.258031, 2.499547, 1.033996, 0.395489, -0.625149, 7.508428, -34.555435, -87.558609, -613.620483
1733468833.048742, 1.344494, 2.130989, 1.401506, 0.145973, -0.576584, 7.878515, -38.329269, -87.872681, -613.901306
1733468833.058749, 0.577900, 1.843386, 1.403900, -0.073710, -0.557839, 8.254807, -42.026321, -87.814896, -613.765076
1733468833.068743, -0.687435, 1.759888, 1.068861, -0.269299, -0.513076, 8.595984, -46.455246, -87.239624, -613.873169
1733468833.078746, -2.221520, 1.469591, 0.497844, -0.453162, -0.423294, 8.877358, -49.939880, -86.364380, -613.863037
1733468833.088767, -4.180725, 1.962497, -0.281319, -0.535816, -0.210571, 9.195979, -53.717560, -85.097794, -613.846802
