"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20231001,서울특별시,11,강서구,11500,울산광역시,31,14,23,8,24,33,22,0,7,32,28,0
20231001,서울특별시,11,강서구,11500,경기도,41,146,348,64,367,465,261,9,155,377,346,34
20231001,서울특별시,11,강서구,11500,충청북도,43,15,34,3,41,51,24,0,22,44,34,4
20231001,서울특별시,11,강서구,11500,충청남도,44,18,57,12,70,73,48,3,22,61,53,7
20231001,서울특별시,11,강서구,11500,전라북도,45,7,34,10,42,55,22,0,18,53,35,0
20231001,서울특별시,11,성동구,11200,대전광역시,30,0,0,0,0,0,0,0,0,0,0,0
20231001,서울특별시,11,성동구,11200,광주광역시,29,0,0,0,0,0,0,0,0,4,0,0
20231001,서울특별시,11,성동구,11200,인천광역시,28,0,0,0,0,0,0,0,0,0,0,0
20231001,서울특별시,11,성동구,11200,대구광역시,27,0,0,0,0,0,0,0,0,0,0,0
20231001,서울특별시,11,성동구,11200,부산광역시,26,0,0,0,0,0,0,0,0,0,0,0
20231001,서울특별시,11,성동구,11200,서울특별시,11,0,0,0,0,0,0,0,0,20,0,0
20231001,서울특별시,11,강서구,11500,전라남도,46,11,22,5,43,36,25,0,11,41,34,4
20231001,서울특별시,11,강서구,11500,경상북도,47,29,48,13,53,72,44,0,19,69,56,0
20231001,서울특별시,11,강서구,11500,경상남도,48,34,71,4,68,99,67,0,39,85,82,3
20231001,서울특별시,11,강서구,11500,부산광역시,26,30,79,10,58,86,53,3,29,90,79,9
20231001,서울특별시,11,송파구,11710,충청북도,43,0,0,0,0,0,0,0,0,0,0,0
