배송년월일,송하인_시명,송하인_시코드,송하인_구명,송하인_구코드,수하인_시명,수하인_시코드,대분류_착지물동량 가구/인테리어,대분류_착지물동량 기타,대분류_착지물동량 도서/음반,대분류_착지물동량 디지털/가전,대분류_착지물동량 생활/건강,대분류_착지물동량 스포츠/레저,대분류_착지물동량 식품,대분류_착지물동량 출산/육아,대분류_착지물동량 패션의류,대분류_착지물동량 패션잡화,대분류_착지물동량 화장품/미용
20231101,서울특별시,11,서대문구,11410,전라남도,46,19,35,16,161,129,23,56,37,129,41,60
20231101,서울특별시,11,서대문구,11410,경상남도,48,59,104,31,346,273,57,123,95,272,83,103
20231101,서울특별시,11,서대문구,11410,제주특별자치도,50,17,22,7,88,72,14,19,7,57,22,8
20231101,서울특별시,11,서대문구,11410,강원특별자치도,51,20,61,20,144,136,27,51,72,136,47,29
20231101,서울특별시,11,마포구,11440,강원특별자치도,51,23,168,67,302,237,41,339,14,215,112,101
20231101,서울특별시,11,마포구,11440,제주특별자치도,50,9,63,27,55,44,12,58,15,104,46,51
20231101,서울특별시,11,마포구,11440,경상남도,48,55,309,116,484,400,83,797,35,424,237,203
20231101,서울특별시,11,마포구,11440,경상북도,47,34,196,93,381,287,52,536,29,336,156,133
20231101,서울특별시,11,마포구,11440,전라남도,46,28,140,59,292,183,29,431,19,208,88,98
20231101,서울특별시,11,마포구,11440,전라북도,45,32,150,59,268,234,32,390,12,232,119,108
20231101,서울특별시,11,마포구,11440,충청남도,44,40,199,74,420,318,52,668,32,328,150,122
20231101,서울특별시,11,마포구,11440,충청북도,43,31,156,48,308,252,46,394,19,255,147,83
20231101,서울특별시,11,마포구,11440,경기도,41,275,2077,778,2848,2237,357,3523,287,2833,1623,1042
20231101,서울특별시,11,마포구,11440,세종특별자치시,36,4,37,20,64,68,11,96,12,52,41,21
20231101,서울특별시,11,마포구,11440,울산광역시,31,15,83,45,147,157,33,236,24,149,93,74
20231101,서울특별시,11,마포구,11440,대전광역시,30,26,164,63,228,220,30,333,21,269,133,113
20231101,서울특별시,11,마포구,11440,광주광역시,29,21,112,49,240,219,31,439,28,220,98,118
20231101,서울특별시,11,마포구,11440,인천광역시,28,53,383,139,512,460,61,795,46,526,297,197
20231101,서울특별시,11,마포구,11440,대구광역시,27,34,219,89,346,329,45,531,35,417,218,177
20231101,서울특별시,11,마포구,11440,부산광역시,26,51,354,142,531,528,63,714,65,540,276,228
20231101,서울특별시,11,마포구,11440,서울특별시,11,256,1794,706,2307,1472,278,2664,202,2523,1361,846
20231101,서울특별시,11,중랑구,11260,경상북도,47,47,178,78,44,222,46,139,28,468,184,135
20231101,서울특별시,11,중랑구,11260,전라남도,46,27,114,66,18,144,27,106,22,300,124,96
20231101,서울특별시,11,중랑구,11260,전라북도,45,34,124,64,29,113,42,102,16,316,114,101
20231101,서울특별시,11,중랑구,11260,충청남도,44,42,135,83,39,248,59,138,29,421,167,112
20231101,서울특별시,11,중랑구,11260,충청북도,43,31,115,66,23,146,37,93,23,347,117,71
20231101,서울특별시,11,중랑구,11260,경기도,41,273,1120,398,354,1443,346,857,213,3128,1245,791
20231101,서울특별시,11,중랑구,11260,세종특별자치시,36,17,30,22,13,34,10,19,0,60,33,19
20231101,서울특별시,11,중랑구,11260,울산광역시,31,19,68,42,17,85,20,64,16,191,71,54
20231101,서울특별시,11,중랑구,11260,대전광역시,30,24,107,47,30,154,40,79,18,307,113,88
20231101,서울특별시,11,중랑구,11260,광주광역시,29,29,103,47,25,124,36,88,17,345,134,82
20231101,서울특별시,11,중랑구,11260,인천광역시,28,56,268,85,52,320,70,187,48,622,219,144
20231101,서울특별시,11,중랑구,11260,대구광역시,27,42,156,68,27,206,49,141,39,406,169,129
20231101,서울특별시,11,중랑구,11260,부산광역시,26,56,181,109,35,275,64,196,33,559,237,170
20231101,서울특별시,11,중랑구,11260,서울특별시,11,188,746,323,250,871,248,677,117,2042,882,592
20231101,서울특별시,11,강동구,11740,강원특별자치도,51,45,54,13,25,162,12,168,7,45,34,13
20231101,서울특별시,11,강동구,11740,제주특별자치도,50,11,20,0,5,20,4,17,0,20,16,3
20231101,서울특별시,11,강동구,11740,경상남도,48,53,101,15,43,174,41,258,18,145,66,35
20231101,서울특별시,11,강동구,11740,경상북도,47,66,67,18,49,156,18,178,15,74,44,30
20231101,서울특별시,11,강동구,11740,전라남도,46,27,42,13,31,108,15,124,13,60,31,19
20231101,서울특별시,11,강동구,11740,전라북도,45,22,49,20,29,106,21,120,14,58,37,37
