"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20230801,서울특별시,11,성동구,11200,강원특별자치도,51,16,212,46,76,162,21,116,8,488,275,74
20230801,서울특별시,11,강서구,11500,서울특별시,11,476,2207,818,2434,2576,905,1608,524,4034,2774,1405
20230801,서울특별시,11,강서구,11500,부산광역시,26,177,765,218,908,897,386,462,264,1309,966,418
20230801,서울특별시,11,강서구,11500,대구광역시,27,142,516,152,678,624,331,274,193,891,658,278
20230801,서울특별시,11,강서구,11500,인천광역시,28,200,826,235,943,1038,385,395,260,1342,827,382
20230801,서울특별시,11,강서구,11500,광주광역시,29,92,387,92,463,418,195,200,133,594,406,160
20230801,서울특별시,11,강서구,11500,대전광역시,30,80,375,111,466,426,187,214,115,546,390,178
20230801,서울특별시,11,강서구,11500,울산광역시,31,57,257,73,359,279,164,112,83,477,322,114
20230801,서울특별시,11,강서구,11500,세종특별자치시,36,5,42,23,60,55,22,52,22,130,41,35
20230801,서울특별시,11,강서구,11500,경기도,41,935,4049,1227,4834,5044,2148,2037,1235,6900,4112,2101
20230801,서울특별시,11,강서구,11500,충청북도,43,96,398,127,534,574,240,261,122,943,393,230
20230801,서울특별시,11,강서구,11500,충청남도,44,146,501,153,705,781,277,369,151,1111,579,282
20230801,서울특별시,11,강서구,11500,전라북도,45,86,383,105,521,492,216,239,100,803,404,225
20230801,서울특별시,11,강서구,11500,전라남도,46,94,326,103,568,551,239,278,126,951,387,249
20230801,서울특별시,11,강서구,11500,경상북도,47,167,537,150,763,862,343,354,144,1158,627,336
20230801,서울특별시,11,강서구,11500,경상남도,48,189,782,175,972,1001,447,483,233,1423,876,422
20230801,서울특별시,11,강서구,11500,제주특별자치도,50,41,143,43,168,218,84,35,44,237,154,49
20230801,서울특별시,11,강서구,11500,강원특별자치도,51,111,330,117,502,528,258,246,114,790,376,233
20230801,서울특별시,11,서초구,11650,강원특별자치도,51,25,150,76,41,238,20,242,21,116,34,71
20230801,서울특별시,11,서초구,11650,제주특별자치도,50,14,48,19,13,58,9,27,7,43,11,25
20230801,서울특별시,11,서초구,11650,경상남도,48,49,245,122,79,468,49,351,23,237,73,123
20230801,서울특별시,11,송파구,11710,부산광역시,26,13,257,118,107,239,64,310,28,567,167,104
20230801,서울특별시,11,송파구,11710,대구광역시,27,28,202,76,70,159,47,195,20,403,98,121
20230801,서울특별시,11,송파구,11710,인천광역시,28,19,245,88,123,264,74,192,39,663,143,94
20230801,서울특별시,11,송파구,11710,광주광역시,29,9,93,38,41,115,38,110,14,274,53,47
20230801,서울특별시,11,송파구,11710,대전광역시,30,15,115,41,56,104,26,108,12,261,81,56
20230801,서울특별시,11,송파구,11710,울산광역시,31,6,68,34,36,65,23,69,6,160,46,24
20230801,서울특별시,11,송파구,11710,세종특별자치시,36,0,34,15,18,75,6,25,7,77,20,8
20230801,서울특별시,11,송파구,11710,경기도,41,128,1469,635,988,1419,362,1119,158,3228,822,565
20230801,서울특별시,11,송파구,11710,충청북도,43,13,111,47,64,178,40,122,19,247,77,51
20230801,서울특별시,11,송파구,11710,충청남도,44,14,162,84,85,155,38,120,21,340,68,70
20230801,서울특별시,11,송파구,11710,전라북도,45,6,130,30,56,101,37,93,15,282,65,52
20230801,서울특별시,11,송파구,11710,전라남도,46,8,100,23,55,126,34,83,12,187,47,37
20230801,서울특별시,11,송파구,11710,경상북도,47,8,170,55,85,168,52,127,17,349,74,81
20230801,서울특별시,11,송파구,11710,경상남도,48,16,216,96,61,249,55,150,26,436,114,82
20230801,서울특별시,11,송파구,11710,제주특별자치도,50,3,41,19,16,35,8,24,3,71,30,10
20230801,서울특별시,11,송파구,11710,강원특별자치도,51,14,121,38,60,127,45,149,12,215,71,49
20230801,서울특별시,11,노원구,11350,서울특별시,11,128,417,147,344,913,156,1189,124,1468,231,365
20230801,서울특별시,11,서초구,11650,경상북도,47,35,193,132,74,321,32,269,28,171,43,88
20230801,서울특별시,11,서초구,11650,전라남도,46,28,138,84,39,176,19,172,13,99,27,54
20230801,서울특별시,11,서초구,11650,전라북도,45,29,132,72,36,210,24,192,12,117,36,58
20230801,서울특별시,11,서초구,11650,충청남도,44,34,164,147,61,293,32,305,32,114,51,100
20230801,서울특별시,11,서초구,11650,충청북도,43,28,138,88,43,196,21,233,25,111,31,75
20230801,서울특별시,11,서초구,11650,경기도,41,266,1688,921,560,2231,259,2097,161,1688,576,822
20230801,서울특별시,11,서초구,11650,세종특별자치시,36,0,36,31,7,71,9,43,0,23,13,16
20230801,서울특별시,11,서초구,11650,울산광역시,31,16,90,46,19,166,22,112,8,82,24,30
