"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),사례수 (명),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),선물 보내기 (%),선물 보내기 (%),선물 보내기 (%),선물 보내기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%)
"특성별(1)",특성별(2),소계,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번
"학력별(모)",고졸 이하,222,94.2,5.8,0.0,0.0,0.0,79.6,5.5,3.5,5.1,1.8,4.4,80.2,15.9,1.3,2.0,0.6,0.0,88.9,9.1,0.9,1.0,0.0,0.2,92.6,5.9,1.0,0.5,55.3,13.7,9.6,9.2,3.5,8.8,32.6,10.2,8.8,11.5,6.9,29.9,56.3,29.2,6.2,5.1,1.0,2.2,67.5,18.9,7.3,4.1,1.6,0.7
"학력별(모)",대졸,592,93.9,5.0,0.8,0.1,0.2,82.2,7.6,2.8,2.5,1.5,3.4,83.8,12.1,2.8,1.2,0.0,0.2,88.8,7.9,1.2,0.8,0.1,1.2,94.7,4.2,0.9,0.2,58.6,16.6,7.4,6.3,4.7,6.3,39.3,13.7,11.0,6.5,9.1,20.3,63.3,26.0,6.4,1.7,1.2,1.3,71.4,18.5,5.8,2.3,0.5,1.5
"학력별(모)",대학원졸 이상,63,94.5,4.3,1.1,0.0,0.0,84.3,4.0,1.6,1.5,0.0,8.6,88.1,7.0,4.9,0.0,0.0,0.0,91.0,6.6,1.3,0.0,1.1,0.0,96.0,1.1,1.7,1.1,61.4,17.1,4.7,2.6,2.5,11.8,38.3,5.6,5.8,11.7,13.4,25.3,59.4,24.9,2.8,2.2,5.3,5.4,74.4,12.7,3.9,4.4,0.9,3.7
"학력별(모)",모름/무응답,17,100.0,0.0,0.0,0.0,0.0,61.7,17.5,0.0,10.4,0.0,10.4,85.1,6.7,8.3,0.0,0.0,0.0,79.2,10.4,0.0,0.0,0.0,10.4,91.0,4.8,4.1,0.0,57.5,7.4,16.0,8.6,0.0,10.4,46.9,4.8,0.0,11.7,4.1,32.5,42.9,31.9,5.0,4.1,0.0,16.0,63.3,26.3,8.3,0.0,0.0,2.2
"가구소득별",100만원 미만,7,100.0,0.0,0.0,0.0,0.0,80.7,0.0,0.0,0.0,0.0,19.3,80.7,0.0,19.3,0.0,0.0,0.0,80.7,0.0,0.0,0.0,0.0,19.3,100.0,0.0,0.0,0.0,80.7,0.0,0.0,0.0,0.0,19.3,25.3,0.0,9.2,0.0,0.0,65.4,71.4,9.2,0.0,0.0,0.0,19.3,71.4,9.2,19.3,0.0,0.0,0.0
"가구소득별",100~200만원 미만,19,97.6,2.4,0.0,0.0,0.0,64.6,0.0,14.5,13.1,0.0,7.8,86.8,13.2,0.0,0.0,0.0,0.0,86.2,2.2,2.4,9.1,0.0,0.0,96.2,0.0,3.8,0.0,49.1,14.0,20.0,0.0,9.8,7.1,42.1,25.6,2.2,1.7,4.5,23.8,51.9,35.0,9.3,0.0,3.8,0.0,52.6,21.4,22.3,0.0,3.8,0.0
"가구소득별",200~300만원 미만,45,89.2,7.1,1.4,0.0,2.3,71.7,9.5,1.4,8.9,1.7,6.8,77.0,15.5,2.3,1.5,1.4,2.3,80.3,13.4,4.0,2.3,0.0,0.0,88.9,4.7,4.1,2.3,56.0,13.0,10.1,13.4,1.5,6.0,35.6,11.9,12.6,2.7,16.1,21.1,58.7,25.6,9.2,2.0,2.3,2.3,72.2,16.2,2.8,4.3,2.3,2.3
"가구소득별",300~400만원 미만,133,92.8,6.3,0.8,0.0,0.0,79.4,8.4,3.3,3.7,0.0,5.3,81.0,13.7,2.5,2.3,0.5,0.0,89.5,7.5,0.9,1.0,0.0,1.1,95.0,3.9,1.1,0.0,58.6,12.3,8.0,6.6,4.8,9.7,39.3,8.6,8.5,14.8,7.6,21.3,61.5,23.5,6.5,3.9,0.4,4.2,75.7,11.6,8.1,1.6,1.9,1.0
"가구소득별",400~500만원 미만,158,92.4,6.7,0.9,0.0,0.0,84.2,5.8,2.1,1.8,2.3,3.9,85.2,11.7,1.5,1.6,0.0,0.0,88.8,8.6,0.5,1.6,0.5,0.0,94.1,5.0,0.4,0.5,60.6,16.4,10.2,4.4,3.0,5.5,40.5,11.8,10.7,10.5,6.0,20.4,61.7,22.2,8.6,3.8,3.3,0.4,71.5,19.1,4.0,4.4,0.7,0.4
"가구소득별",500만원 이상,532,95.2,4.2,0.5,0.1,0.0,82.4,7.2,2.7,2.7,1.6,3.3,83.7,12.5,2.9,0.9,0.0,0.0,89.6,8.0,1.1,0.0,0.1,1.2,94.3,4.6,0.9,0.2,57.2,17.0,6.7,7.3,4.4,7.4,36.7,12.8,10.0,6.8,9.6,24.2,60.8,29.2,5.0,2.2,0.9,1.9,69.4,20.0,5.7,2.8,0.3,1.8
