SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469766.291709, 0.275932, -5.156811, -8.158691, -0.395441, 0.374650, -0.033391, , , 
1733469766.301823, 0.179266, -5.347599, -8.251167, -0.462440, 0.476355, -0.059589, -10.336578, -49.678467, -656.229370
1733469766.311696, 0.067038, -5.207838, -8.178144, -0.572558, 0.554580, -0.081918, -10.044357, -49.326721, -656.116150
1733469766.322088, 0.193781, -5.259462, -8.250868, -0.696186, 0.587806, -0.090183, -9.642075, -48.937943, -655.931396
1733469766.332081, 0.401627, -5.461773, -8.532785, -0.803352, 0.469283, -0.096469, -9.247986, -48.806442, -656.576294
1733469766.342084, 0.115071, -5.802946, -9.381679, -0.907659, 0.386494, -0.107899, -9.246429, -48.102127, -656.230652
1733469766.352077, -0.772130, -6.842628, -10.784382, -1.043374, 0.640448, -0.194373, -9.219971, -47.589951, -656.007690
1733469766.362075, -1.704372, -7.725341, -11.411064, -1.149005, 0.983545, -0.411182, -8.856537, -47.589401, -656.331238
1733469766.372105, -1.429488, -8.094048, -11.723807, -1.028952, 0.904463, -0.699062, -8.493942, -46.757904, -655.499573
1733469766.382070, -0.496797, -7.237073, -12.635250, -0.711410, 0.599367, -0.866999, -7.339203, -46.030762, -655.220642
1733469766.392075, 0.696264, -5.886294, -13.021614, -0.478359, 0.324406, -0.752536, -7.805359, -45.781677, -654.794556
1733469766.402064, 1.484704, -5.560683, -13.788656, 0.064590, 0.088497, -0.562361, -7.793259, -45.854568, -654.788696
1733469766.412061, 1.474679, -4.617966, -14.260015, 0.745185, 0.102395, -0.349737, -7.137192, -45.929321, -655.224060
1733469766.422050, 2.502988, -3.181894, -13.130999, 1.170956, 0.030075, 0.085746, -7.346268, -46.452774, -654.563965
1733469766.432075, 3.223793, -3.923947, -12.443115, 1.488001, -0.157625, 0.621981, -7.907883, -47.378036, -655.321350
1733469766.442133, 2.578705, -5.027823, -12.106879, 1.721322, -0.295557, 0.836272, -8.148880, -48.317505, -654.602539
1733469766.452056, 1.489792, -5.618144, -11.634773, 1.943248, -0.368542, 0.892271, -8.220047, -49.532471, -654.781311
1733469766.462063, 0.231938, -6.012589, -10.638934, 2.145188, -0.252365, 0.839229, -8.820923, -50.611786, -655.200806
1733469766.472048, -0.266953, -6.758233, -8.684518, 2.189272, -0.258034, 0.570631, -9.112778, -51.801987, -654.535889
1733469766.482050, -0.560094, -7.500286, -6.182876, 1.991804, -0.656530, 0.226365, -9.488968, -52.196625, -654.651245
1733469766.492054, -1.617882, -8.128015, -2.790143, 1.226929, -1.570656, -0.215616, -10.253067, -52.780869, -654.828003
1733469766.502054, -2.148646, -8.377611, -2.396596, 0.353491, -2.461710, -0.684158, -10.796906, -52.606873, -656.206665
1733469766.511783, -1.343297, -7.527220, -4.881927, 0.064083, -3.316780, -0.914500, -12.013397, -52.390106, -656.546082
1733469766.522057, -0.072125, -6.599467, -7.447464, 0.104767, -3.919685, -0.970111, -13.853653, -52.190338, -658.714905
1733469766.532064, 0.551415, -6.509385, -9.510966, 0.233227, -4.183819, -1.010260, -15.212463, -51.971191, -659.283997
1733469766.542054, -0.036661, -6.770054, -13.855095, 0.001108, -2.686213, -1.065434, -15.485855, -51.960266, -659.000366
1733469766.552060, -0.621595, -5.085284, -11.965172, 0.391304, -2.059189, -0.941182, -16.253891, -51.878571, -658.738037
1733469766.562052, -1.460613, -3.961356, -10.476428, 0.730271, -1.531204, -0.749573, -16.390457, -52.037552, -659.737549
1733469766.572050, -2.032378, -3.482815, -9.510218, 1.119948, -1.365749, -0.511286, -16.634232, -52.541809, -659.008484
1733469766.582061, -2.794931, -2.801366, -8.641721, 1.527623, -1.401262, -0.226329, -17.326904, -53.261658, -659.846985
1733469766.592060, -2.691532, -2.112284, -8.393772, 1.944251, -1.444515, 0.089066, -17.910660, -54.302490, -659.016296
1733469766.602127, -2.731335, -1.612794, -8.249820, 2.322654, -1.331279, 0.392694, -18.534698, -55.550293, -658.647949
1733469766.612057, -2.689437, -1.414524, -6.687454, 2.633707, -1.191501, 0.679268, -19.348801, -56.986755, -659.253784
1733469766.622059, -3.160047, -2.360533, -4.952705, 2.958444, -1.250779, 0.893402, -21.176331, -58.650803, -658.596191
1733469766.632056, -4.211999, -5.736806, -3.550302, 2.834600, -1.293764, 0.661867, -24.172134, -59.783707, -660.137939
1733469766.642105, -4.349367, -13.817836, 0.893336, 1.446019, -2.154991, -0.713259, -22.841202, -59.786270, -659.450745
1733469766.652053, -4.279785, -15.549442, 0.094272, 0.414096, -2.473358, -2.151257, -20.920059, -59.155853, -658.465027
1733469766.662058, -4.899584, -7.155969, -4.304625, 0.034590, -1.606410, -2.211458, -21.447723, -59.015228, -659.777039
1733469766.672055, -3.944597, -3.029413, -4.117129, -0.248827, -0.773514, -1.762403, -22.618744, -58.781509, -659.156616
1733469766.682057, -2.093580, -4.095282, -3.607014, -0.681661, -0.308100, -1.772035, -21.833267, -58.133118, -660.143555
1733469766.692044, -0.234482, -4.355651, -4.156933, -0.887213, -0.043053, -1.777372, -21.270477, -57.565704, -660.245483
1733469766.702047, 0.488118, -2.807201, -3.526509, -0.677909, 0.103514, -1.336066, -21.399033, -57.268890, -659.078430
1733469766.712056, 0.669329, -1.790115, -0.991499, -0.404163, -0.195002, -0.860079, -21.887299, -57.025925, -660.334106
1733469766.722116, 0.404770, -1.398363, 2.231994, -0.384703, -1.103621, -0.557566, -22.621689, -56.976822, -660.149475
1733469766.732054, -0.435445, -2.230648, 3.453786, -0.513116, -2.322553, -0.427435, -24.159195, -56.470337, -661.041809
1733469766.742046, -2.274043, -3.461417, 1.724274, -0.643454, -3.121267, -0.576640, -25.337921, -56.003174, -661.768372
1733469766.752117, -3.886388, -3.453935, -0.058658, -0.766349, -3.441418, -0.930232, -26.724380, -55.425064, -661.255005
1733469766.762046, -4.262128, -2.746598, -1.200842, -0.837277, -3.436352, -1.283588, -27.950516, -54.871918, -662.329712
1733469766.772041, -3.358466, -2.482787, -1.952023, -0.886403, -3.176330, -1.475235, -28.962921, -54.401413, -662.211670
1733469766.782053, -1.714099, -2.326865, -1.961599, -0.973961, -2.890869, -1.495646, -30.162064, -53.813171, -663.025269
1733469766.792040, -0.163255, -1.610699, -1.477522, -1.065720, -2.684803, -1.365700, -31.508621, -53.134277, -663.235840
1733469766.802039, 1.365593, -0.116717, -0.217274, -1.135133, -2.718708, -1.073919, -32.759506, -52.536667, -663.313904
1733469766.811817, 2.570175, 0.113425, 0.982670, -1.377249, -2.760306, -0.745723, -34.286758, -51.799469, -664.184265
1733469766.822049, 3.130868, -0.186000, 2.523638, -1.781876, -3.103825, -0.410536, -36.016296, -50.681564, -663.925232
1733469766.832051, 2.483984, 0.743100, 3.176208, -2.249861, -3.531539, -0.137820, -37.847748, -49.558731, -664.703613
1733469766.842059, 2.046294, 1.748066, 3.550900, -2.752119, -4.218506, 0.076946, -40.356476, -47.974731, -664.605469
1733469766.852048, 2.145803, 3.064578, 1.510292, -3.072542, -4.979204, 0.388839, -42.869095, -46.532181, -665.049805
1733469766.862039, 1.777695, 3.273472, -2.355894, -3.000056, -5.460467, 0.702652, -45.528824, -45.110931, -664.392273
1733469766.872039, 0.807893, 3.508403, -3.447650, -2.639572, -6.024269, 1.006218, -48.297806, -44.026718, -663.559631
1733469766.882073, -0.070928, 3.879355, -5.892729, -2.286475, -6.098282, 1.259028, -50.942917, -42.869781, -662.035278
1733469766.892099, 0.466570, 4.480898, -6.191256, -2.079709, -6.017984, 1.618492, -53.321014, -41.198608, -661.507202
1733469766.902039, 0.776170, 5.632509, -6.660370, -1.951999, -5.780771, 2.173275, -55.421860, -39.929413, -660.648315
1733469766.912060, 1.151910, 6.579416, -7.122600, -1.920652, -5.210332, 3.599394, -57.876862, -38.396530, -658.826599
1733469766.922044, 0.251990, 8.437915, -6.013187, -2.063679, -5.244558, 4.345504, -59.879684, -36.555603, -658.040161
1733469766.932062, -1.287781, 9.466673, -6.894852, -2.071777, -5.300745, 5.050101, -61.508011, -34.361084, -656.524231
1733469766.942044, -2.864064, 10.509049, -8.445846, -1.935000, -5.221630, 5.757913, -62.520920, -31.965668, -654.376343
1733469766.951879, -2.864064, 10.509049, -8.445846, -1.935000, -5.221630, 5.757913, -63.327072, -29.188171, -653.260254
1733469766.962033, -7.720103, 12.939313, -12.193819, -1.834505, -4.262988, 7.009293, -64.150452, -26.327866, -651.439880
1733469766.972044, -10.652551, 12.934076, -14.895526, -1.793820, -3.643039, 7.339236, -64.433090, -23.596588, -650.129944
1733469766.982044, -13.732243, 12.891878, -17.749564, -1.468518, -3.109285, 7.406959, -64.181229, -21.060898, -648.879578
1733469766.992047, -16.176573, 12.701539, -20.704906, -0.637022, -2.684674, 7.270032, -63.553909, -18.255524, -648.287903
1733469767.002052, -18.848353, 12.305748, -22.815245, 0.611226, -2.187833, 6.957482, -62.591553, -16.310928, -647.443176
1733469767.012078, -20.798131, 11.709442, -22.519412, 1.838386, -1.651411, 6.552741, -61.553925, -14.978485, -647.475464
1733469767.022046, -21.993136, 11.254394, -20.187459, 2.697093, -1.255002, 6.036422, -60.550888, -14.141373, -646.850647
1733469767.032053, -22.695386, 11.438747, -17.024869, 3.167149, -1.118352, 5.484873, -59.534500, -13.493057, -647.777588
1733469767.042042, -22.914605, 11.812243, -14.859613, 3.450335, -1.154920, 5.071261, -58.260178, -13.214554, -648.385925
1733469767.052031, -23.459435, 12.398074, -13.974057, 3.721058, -1.176401, 4.787024, -57.084122, -13.215912, -649.192871
1733469767.062035, -25.153782, 12.239608, -13.028048, 4.016036, -1.318422, 4.478573, -56.226028, -13.430832, -649.754028
