SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469724.723768, -5.255572, -3.864391, -8.430732, -0.548516, 0.264532, 0.123529, -38.527496, -47.837891, -664.282166
1733469724.733773, -5.243751, -4.082263, -8.714295, -0.399039, 0.203336, 0.223805, -38.497696, -47.598099, -664.816406
1733469724.743771, -5.555595, -4.403835, -9.076269, -0.181244, 0.114038, 0.284903, -38.723099, -47.440948, -664.977295
1733469724.753809, -6.138883, -4.812944, -9.318532, 0.072716, 0.027454, 0.277028, -38.584915, -47.615814, -664.070435
1733469724.763775, -6.767061, -5.187936, -9.283367, 0.316267, -0.046953, 0.195537, -38.680435, -47.630264, -664.877869
1733469724.773785, -7.293935, -5.454291, -8.962993, 0.493689, -0.131350, 0.052818, -38.834198, -48.047333, -664.529846
1733469724.783783, -7.551312, -5.566070, -8.412925, 0.593909, -0.226951, -0.109244, -38.725143, -48.224091, -664.956299
1733469724.793779, -7.634211, -5.536142, -7.894880, 0.631185, -0.354613, -0.266718, -39.029144, -48.619843, -665.310791
1733469724.803785, -7.605780, -5.391144, -7.382521, 0.617800, -0.509136, -0.399164, -39.063995, -48.940765, -664.249451
1733469724.813782, -7.420379, -5.191677, -7.079505, 0.566203, -0.628310, -0.496818, -39.419388, -49.031357, -664.791809
1733469724.823777, -7.202956, -5.012710, -6.998700, 0.507682, -0.705133, -0.552470, -39.527725, -49.563004, -664.263550
1733469724.833275, -6.991069, -4.840028, -7.076662, 0.469015, -0.735085, -0.569103, -39.709976, -49.863358, -664.591309
1733469724.843797, -6.814347, -4.631583, -7.208941, 0.460965, -0.723996, -0.568369, -40.321228, -50.081772, -664.718384
1733469724.853793, -6.774693, -4.496311, -7.370699, 0.487131, -0.677818, -0.567842, -40.465469, -50.465012, -663.981323
1733469724.863506, -6.633734, -4.459500, -7.478439, 0.552938, -0.623376, -0.571320, -40.847855, -50.778030, -664.513794
1733469724.873756, -6.399851, -4.457555, -7.430255, 0.638176, -0.582549, -0.575146, -41.144058, -50.935593, -663.805237
1733469724.883785, -6.162077, -4.418499, -7.199514, 0.716390, -0.555023, -0.582853, -41.374985, -51.361176, -664.129089
1733469724.893771, -5.897667, -4.368221, -6.844125, 0.766904, -0.544680, -0.593802, -41.691299, -51.841705, -664.569946
1733469724.903790, -5.602881, -4.325574, -6.421847, 0.786624, -0.543798, -0.603674, -41.855469, -52.267838, -663.678406
1733469724.913765, -5.342362, -4.302680, -5.990442, 0.771475, -0.562770, -0.598507, -42.406372, -52.689987, -663.921875
