SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469839.276247, -0.684442, -5.382016, -10.922049, 0.310011, 0.711857, -0.133923, -11.271103, -46.132416, -657.594299
1733469839.286228, -0.573112, -5.667075, -9.760412, 0.497757, 0.241989, -0.134410, -11.231308, -46.476944, -657.150208
1733469839.296233, -0.558597, -6.110003, -10.219351, 0.891196, -0.099839, -0.189230, -11.307602, -46.727585, -657.760986
1733469839.306249, -1.299154, -6.433669, -10.780192, 1.250122, -0.227706, -0.432622, -11.461563, -47.207306, -657.747925
1733469839.316237, -1.859547, -6.618621, -10.513538, 1.414847, -0.295375, -0.691410, -11.044968, -47.300568, -657.506592
1733469839.326219, -1.594838, -7.023690, -10.349086, 1.314168, -0.075489, -0.807750, -10.888702, -47.562881, -657.620789
1733469839.336121, -1.375020, -7.746739, -10.754754, 1.057235, 0.433441, -0.862362, -10.570053, -47.988113, -656.509766
1733469839.346246, -1.870769, -7.937676, -10.845434, 0.956017, 0.745785, -0.959298, -10.436066, -48.361084, -656.817749
1733469839.355260, -2.003199, -7.266701, -10.136152, 1.177645, 0.529382, -1.073774, -10.501328, -48.647461, -656.030640
1733469839.365560, -0.915632, -6.691494, -9.616311, 1.483024, 0.017713, -1.138040, -9.630936, -48.724030, -656.202393
1733469839.375890, 0.782305, -5.318869, -9.197775, 1.649046, -0.323972, -0.905602, -9.604065, -48.958618, -655.919800
1733469839.386196, 2.453159, -3.778050, -9.466524, 1.617867, -0.047036, -0.344401, -9.006561, -49.709915, -655.040955
1733469839.396246, 3.469797, -2.280477, -9.659706, 1.524889, 0.394437, 0.444428, -9.564148, -50.669983, -655.655029
1733469839.406229, 2.449568, -3.593996, -9.037662, 1.489827, 0.758757, 0.962118, -10.633041, -51.673019, -655.048889
1733469839.416229, 1.657835, -6.422596, -7.741801, 1.253949, 0.872779, 0.859040, -10.691254, -52.475861, -655.287476
1733469839.426228, 0.732626, -8.664915, -5.684284, 0.828119, 0.735345, 0.367137, -9.890961, -52.561722, -655.171875
1733469839.436227, -0.872088, -9.133730, -4.956746, 0.526076, 0.789614, -0.214715, -9.175735, -52.824173, -654.516479
1733469839.445317, -2.296039, -7.853430, -3.928586, 0.266117, 0.162774, -0.659389, -9.793808, -52.476974, -654.439575
1733469839.456244, -2.977489, -7.829189, -1.754202, -0.256689, -0.920778, -1.255353, -9.627838, -52.075409, -654.523743
1733469839.466225, -1.915511, -7.834726, -1.829320, -0.725304, -2.091880, -1.657740, -10.236038, -51.265442, -655.715332
1733469839.476227, -0.450260, -7.090578, -3.656844, -0.877936, -2.874321, -1.812228, -11.046112, -50.299042, -656.499634
1733469839.486231, 0.211438, -4.804714, -5.876718, -0.818516, -3.165273, -1.791513, -12.025986, -49.342911, -657.337219
1733469839.496245, 0.799065, -3.313276, -8.052598, -0.581730, -3.056893, -1.633774, -12.871445, -48.950333, -658.329590
1733469839.505646, 1.280150, -2.781464, -9.955988, -0.212308, -2.689832, -1.406321, -13.831528, -48.371460, -658.665527
1733469839.516231, 0.947655, -2.955343, -12.127829, 0.000319, -1.308749, -1.280939, -14.481400, -48.289474, -659.229309
