SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469802.827765, -4.850353, -4.965125, -10.690559, 0.178352, 0.287600, 0.249085, , , 
1733469802.837576, -4.891653, -5.293730, -10.580426, 0.364790, 0.148504, 0.240242, -31.745483, -47.529724, -664.754822
1733469802.848256, -5.556344, -5.464915, -10.502315, 0.553239, 0.033777, 0.150847, -32.039688, -47.638351, -664.851562
1733469802.858288, -6.526444, -6.010344, -10.338013, 0.730242, -0.142776, -0.042417, -31.894928, -47.980927, -663.977295
1733469802.868261, -7.179762, -6.486042, -9.838373, 0.788710, -0.312981, -0.274660, -31.945358, -48.490662, -664.810852
1733469802.878276, -7.523031, -6.523900, -9.478195, 0.785704, -0.427200, -0.486280, -32.141266, -48.646851, -664.405518
1733469802.888269, -7.357382, -6.485294, -9.588029, 0.789726, -0.469292, -0.613103, -32.021500, -49.062531, -664.361816
1733469802.898269, -6.903980, -6.146065, -9.996540, 0.846813, -0.482556, -0.647009, -31.883759, -49.516953, -663.792358
1733469802.908286, -6.266524, -5.755062, -10.310181, 0.942502, -0.475729, -0.595671, -32.275284, -49.914474, -663.416748
1733469802.918275, -5.765238, -5.616947, -10.404153, 1.039329, -0.478358, -0.522097, -32.385498, -50.495255, -664.078857
1733469802.928249, -5.690568, -5.688324, -10.136451, 1.108998, -0.463279, -0.467844, -32.396820, -51.056870, -663.473267
1733469802.938324, -6.038177, -5.732018, -9.713725, 1.139097, -0.392312, -0.454630, -32.442291, -51.445938, -663.993896
1733469802.948257, -6.508488, -5.827038, -9.303119, 1.131791, -0.323181, -0.517083, -32.788666, -52.154907, -663.445984
1733469802.958258, -6.953659, -6.025457, -8.907178, 1.131829, -0.292934, -0.637927, -32.936646, -52.760986, -663.009949
1733469802.968262, -7.172130, -6.103419, -8.791957, 1.174443, -0.361253, -0.743375, -32.950928, -53.158997, -663.765564
1733469802.978285, -6.873903, -6.313959, -8.544606, 1.252782, -0.636068, -0.809405, -33.284958, -53.911911, -663.415161
1733469802.988250, -6.559963, -6.446837, -8.259696, 1.397683, -0.963891, -0.896324, -33.381454, -54.444992, -663.409973
1733469802.998251, -6.618621, -6.108955, -8.319551, 1.595032, -1.143729, -0.975887, -34.002640, -55.134003, -662.963501
1733469803.008249, -6.060323, -5.459678, -8.154052, 1.766113, -1.192322, -0.987565, -33.981262, -56.111923, -662.452759
1733469803.018245, -5.877167, -5.535095, -7.597700, 1.870196, -1.254867, -0.947938, -34.487289, -56.984528, -662.274780
1733469803.028244, -5.877167, -5.535095, -7.597700, 1.908970, -1.226810, -0.868005, -34.642059, -57.907837, -661.709290
1733469803.038275, -6.662914, -5.831826, -6.753444, 1.870658, -1.023460, -0.830861, -35.383499, -58.842072, -661.914551
1733469803.047992, -6.662914, -5.831826, -6.753444, 1.754449, -0.792263, -0.897164, -35.630692, -59.706512, -660.795654
1733469803.057315, -7.095516, -6.127810, -5.815665, 1.609220, -0.648912, -0.986162, -35.784012, -60.389084, -661.028748
1733469803.068259, -7.006033, -6.173898, -3.978565, 1.488681, -0.627845, -1.056096, -35.846405, -61.156158, -660.968567
1733469803.078255, -6.994959, -6.251709, -3.151966, 1.376895, -0.703483, -1.138337, -35.617264, -61.841263, -659.616882
1733469803.088254, -7.281815, -6.213253, -2.578406, 1.237013, -0.779032, -1.232523, -35.975311, -62.362396, -660.378296
1733469803.098258, -7.419781, -6.387730, -2.245013, 1.073765, -0.792085, -1.362873, -36.156876, -62.867752, -660.214905
1733469803.108256, -6.962488, -6.221632, -1.786224, 0.919777, -0.851464, -1.494002, -36.027908, -63.567276, -659.625122
1733469803.118254, -6.513126, -5.857265, -1.569100, 0.816138, -1.011333, -1.585556, -36.112808, -63.870193, -659.707886
1733469803.128252, -6.219388, -5.717653, -1.699285, 0.787671, -1.194841, -1.665229, -36.440643, -64.250992, -658.794800
1733469803.138248, -5.979818, -5.535843, -1.560122, 0.805827, -1.370151, -1.763470, -36.663422, -64.643341, -659.616516
1733469803.148260, -5.796063, -5.290288, -0.953790, 0.841734, -1.564827, -1.853568, -36.841110, -65.009827, -659.330811
1733469803.158250, -5.658696, -5.218761, -0.062848, 0.843491, -1.777734, -1.943136, -37.173569, -65.502731, -657.965881
1733469803.167832, -5.320664, -5.063886, 0.812682, 0.777601, -2.007578, -2.037214, -37.453430, -65.927338, -658.586670
1733469803.178251, -4.879084, -4.768950, 1.470189, 0.650796, -2.214125, -2.125722, -37.684464, -66.376877, -657.823792
1733469803.188258, -4.418200, -4.516213, 1.849970, 0.486368, -2.371468, -2.206143, -38.343048, -66.666428, -658.189331
1733469803.198254, -3.625719, -4.102465, 2.121861, 0.317196, -2.523507, -2.237585, -38.924728, -66.840897, -657.867493
1733469803.208255, -2.750190, -3.658190, 2.352004, 0.144559, -2.681164, -2.230438, -39.273987, -67.051987, -657.360596
1733469803.218260, -1.972972, -3.105579, 2.718915, -0.018038, -2.884751, -2.167790, -40.086380, -67.242630, -658.155884
1733469803.228250, -1.254262, -2.659659, 2.718616, -0.172242, -3.098667, -2.063561, -40.677383, -67.232925, -657.507080
1733469803.238240, -0.494253, -2.140716, 2.382530, -0.330960, -3.121008, -1.885508, -41.710373, -67.084656, -657.211731
1733469803.248251, -0.004639, -1.623718, 2.481141, -0.527653, -3.069628, -1.661349, -42.179474, -66.992722, -657.695496
1733469803.258243, 0.575057, -1.085621, 2.470966, -0.747037, -2.982403, -1.416822, -43.464569, -66.776428, -657.024048
1733469803.268241, 0.933739, -0.539593, 2.507627, -0.976421, -2.864088, -1.152092, -44.298599, -66.456421, -657.812195
1733469803.278259, 1.117194, -0.392948, 2.917634, -1.226758, -2.831776, -0.945986, -45.505890, -66.048508, -657.308350
1733469803.288234, 1.329231, -0.112527, 3.238607, -1.520718, -2.911764, -0.797778, -46.342682, -65.415741, -657.574829
1733469803.298250, 1.587505, 0.647482, 3.356970, -1.834161, -3.100504, -0.651943, -47.572617, -64.657669, -658.263794
1733469803.308237, 2.170942, 1.658733, 3.297714, -2.146386, -3.352102, -0.481232, -49.018280, -63.775681, -657.552979
1733469803.318249, 3.277512, 2.688240, 1.991976, -2.409196, -3.589607, -0.222033, -50.382736, -62.640961, -658.052979
1733469803.328236, 3.861398, 3.060987, 1.105223, -2.570435, -3.827981, 0.127798, -51.913193, -61.642822, -657.520996
1733469803.338244, 3.959112, 3.581875, 0.457293, -2.601186, -4.063687, 0.559366, -53.798004, -60.464615, -657.126343
1733469803.347954, 4.048894, 4.684704, -0.557849, -2.623552, -4.279247, 1.036376, -55.580383, -58.772781, -657.710144
1733469803.358239, 3.926491, 5.897517, -1.758840, -2.707976, -4.300559, 1.566374, -57.355850, -57.171814, -656.608948
1733469803.368237, 4.153341, 6.739378, -2.920926, -2.816408, -4.194304, 2.179417, -59.221954, -55.451584, -657.045471
1733469803.378248, 4.187010, 7.394492, -4.012083, -2.926749, -4.022597, 2.861452, -61.319519, -53.657639, -655.308228
1733469803.388129, 3.730765, 8.529792, -5.096657, -2.996233, -3.796521, 3.557682, -63.010452, -51.371185, -655.668945
1733469803.398235, 2.760963, 9.983222, -5.943755, -2.975777, -3.561079, 4.302645, -64.317459, -48.971237, -653.796265
1733469803.408233, 0.954987, 11.288960, -6.374263, -2.961562, -3.286359, 5.070320, -65.662628, -46.101440, -653.936462
1733469803.418247, -1.823633, 12.256666, -6.332813, -3.086301, -3.186895, 5.706662, -66.835144, -43.044022, -652.296570
1733469803.428229, -5.415684, 13.171700, -7.263858, -3.246896, -3.292833, 6.167198, -67.649704, -39.827698, -651.743652
1733469803.438238, -8.657284, 13.572430, -9.401731, -3.297936, -3.384455, 6.403388, -68.723831, -36.571945, -650.327515
1733469803.448077, -10.600178, 13.192051, -11.864915, -3.146537, -3.497608, 6.478108, -69.328690, -33.208740, -648.493896
1733469803.458234, -11.647791, 13.188310, -14.340520, -2.712949, -3.617806, 6.519529, -69.535614, -29.905090, -647.105774
1733469803.467233, -12.468853, 13.902830, -16.341175, -2.130089, -3.671978, 6.633773, -69.657089, -26.747177, -644.947571
1733469803.478233, -13.696330, 14.008025, -18.485631, -1.578483, -3.635262, 6.747521, -69.567963, -24.045731, -643.556641
1733469803.488228, -15.475521, 14.024335, -21.644481, -0.895475, -3.344312, 6.801033, -69.243530, -21.105011, -642.774902
1733469803.498099, -17.080983, 13.602208, -24.107366, 0.035410, -2.784012, 6.824020, -68.279877, -18.816925, -641.043823
1733469803.508242, -18.625692, 13.302035, -24.370579, 1.083332, -2.202644, 6.817580, -67.364716, -16.565994, -640.777344
1733469803.518235, -20.237139, 13.678373, -22.990920, 2.050741, -1.777994, 6.764530, -66.059250, -14.798523, -640.189880
1733469803.528228, -21.816115, 14.141202, -21.274427, 2.863382, -1.406493, 6.706055, -64.804443, -13.153839, -640.687195
1733469803.538235, -23.917775, 14.493599, -19.313726, 3.418421, -0.971277, 6.615695, -63.104492, -12.049805, -641.796326
1733469803.548233, -26.327090, 14.119355, -17.103428, 3.637052, -0.594959, 6.401109, -61.543777, -11.000565, -642.624512
1733469803.558302, -28.689718, 13.574076, -15.697434, 3.658478, -0.391280, 6.049914, -59.770660, -10.404251, -643.176880
1733469803.568229, -31.170111, 12.857312, -15.569194, 3.751100, -0.358456, 5.586165, -58.412613, -9.900436, -644.523743
1733469803.578246, -33.664271, 11.760019, -16.066590, 4.031514, -0.439743, 4.954375, -57.337204, -9.807236, -645.592163
1733469803.588224, -35.855265, 10.752210, -16.578799, 4.515084, -0.497493, 4.207711, -56.215256, -10.344803, -646.405884
1733469803.598240, -37.647325, 10.484209, -16.461034, 5.114267, -0.372578, 3.422208, -55.163788, -11.315002, -648.278687
1733469803.608297, -38.905777, 10.386196, -15.291467, 5.659389, -0.022723, 2.644335, -54.355988, -12.637650, -649.349243
1733469803.618223, -39.732225, 10.418967, -12.920908, 5.998169, 0.505944, 1.833232, -53.668869, -14.415909, -651.594360
1733469803.628231, -39.654264, 10.735451, -9.975591, 6.102709, 0.958475, 1.000793, -53.056229, -16.729294, -653.396729
1733469803.638251, -38.393867, 11.398196, -7.518541, 6.063132, 1.244464, 0.217940, -52.550293, -19.198273, -654.967163
1733469803.648229, -36.484790, 12.233323, -5.647772, 6.065187, 1.366687, -0.407067, -52.291901, -21.770355, -656.046204
1733469803.658231, -34.571374, 12.896068, -3.677494, 6.128242, 1.264805, -0.960373, -52.101105, -24.876114, -657.921204
1733469803.668234, -32.789639, 13.532776, -2.024447, 6.202156, 0.991988, -1.465836, -51.778793, -27.748047, -657.633606
