SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733470115.487349, 3.266439, -9.540445, -0.520739, 0.448332, -0.576263, 0.107879, , , 
1733470115.496340, 3.047220, -10.382904, -0.373495, 0.567022, -0.594769, 0.209336, -6.914841, -76.960541, -633.617615
1733470115.507346, 2.855983, -10.974123, -0.399233, 0.610522, -0.433069, 0.337424, -6.885666, -77.239975, -633.627930
1733470115.517375, 2.733580, -11.265317, -0.254833, 0.595393, -0.188544, 0.451608, -7.422821, -77.241302, -633.645630
1733470115.527354, 2.218826, -11.837083, -0.257377, 0.616960, -0.060738, 0.456230, -7.448166, -77.548950, -633.476746
1733470115.537357, 1.024718, -12.183344, -0.205602, 0.581074, -0.068387, 0.318365, -7.691055, -77.889236, -632.844360
1733470115.547367, -0.117316, -12.639589, 0.243311, 0.601787, -0.257310, 0.070713, -8.075851, -78.044662, -633.628784
1733470115.556367, -0.772729, -13.566893, 0.627580, 0.653479, -0.647547, -0.340464, -8.090286, -78.204727, -633.048706
1733470115.566641, -1.667561, -14.148684, 1.156399, 0.641621, -1.130675, -0.782794, -7.491028, -78.065735, -632.707520
1733470115.577255, -1.520168, -13.475764, 1.192312, 0.604819, -1.657910, -1.127023, -7.218155, -77.887375, -633.578979
1733470115.587340, -1.231368, -12.916119, 0.269348, 0.655959, -2.179936, -1.366594, -7.260422, -77.483627, -633.162598
1733470115.597381, -1.262193, -12.607866, -1.424550, 0.875513, -2.570292, -1.549528, -7.072433, -77.131058, -634.138916
1733470115.606341, -1.151910, -12.366201, -3.066523, 1.250793, -2.862923, -1.710420, -6.950851, -76.967255, -634.889893
1733470115.617319, -0.850690, -12.201749, -4.314052, 1.704486, -2.993024, -1.867842, -6.814545, -76.650269, -634.472168
1733470115.627318, -0.518494, -11.829451, -4.807557, 2.145463, -3.059081, -2.009226, -6.486847, -76.491684, -635.412720
1733470115.637318, -0.256928, -11.372458, -4.062362, 2.466189, -3.114965, -2.161455, -6.382980, -76.324203, -634.547119
1733470115.647339, 0.039504, -11.145308, -3.124882, 2.621361, -3.059579, -2.305458, -6.138062, -76.120499, -635.441406
1733470115.657327, 0.573860, -10.658537, -2.116474, 2.624655, -2.975571, -2.412929, -5.926620, -75.806046, -635.058289
1733470115.667314, 1.208174, -10.070162, -0.666037, 2.540801, -3.059592, -2.503084, -5.668335, -75.799774, -634.658813
1733470115.677162, 1.465700, -9.808745, 0.730232, 2.446527, -3.426813, -2.638642, -5.824463, -75.389038, -635.621765
1733470115.687336, 1.490391, -9.466524, 1.094599, 2.414522, -3.961308, -2.826140, -5.375671, -74.976410, -635.364258
1733470115.697315, 1.614440, -8.915558, 0.112827, 2.550003, -4.438705, -2.985236, -5.081879, -74.343994, -636.145447
1733470115.707136, 1.490391, -8.425495, -1.186028, 2.812719, -4.730207, -3.155914, -4.981613, -73.892273, -636.428894
1733470115.717328, 1.151312, -8.025813, -2.743157, 3.049220, -4.658930, -3.357698, -4.837723, -73.416611, -637.764587
1733470115.726640, 1.416320, -7.866000, -3.608660, 3.223419, -4.445075, -3.590084, -4.369400, -72.963104, -638.179504
1733470115.737326, 2.035969, -6.900388, -2.988712, 3.421493, -4.390781, -3.769064, -4.494705, -72.581528, -638.288574
1733470115.747320, 2.435801, -6.565500, -2.372953, 3.519606, -4.327190, -4.020681, -4.200439, -71.989136, -638.496216
1733470115.756383, 3.413084, -6.002114, -1.228225, 3.368304, -4.347206, -4.193752, -3.725601, -71.134567, -639.708557
1733470115.767333, 4.434061, -4.694281, -0.002394, 2.966234, -4.237336, -4.273598, -2.886063, -70.215195, -638.954224
1733470115.776649, 4.994005, -3.755904, -0.071227, 2.514219, -3.858299, -4.233129, -2.503082, -69.268936, -640.068176
1733470115.787342, 5.128081, -3.172766, -0.353145, 2.188602, -3.472948, -4.128119, -2.291489, -68.439087, -640.169678
1733470115.797330, 5.288941, -3.040935, -0.426467, 1.893632, -3.108176, -4.020964, -1.853989, -67.444000, -640.951172
1733470115.807316, 5.609465, -2.831293, -0.523133, 1.570166, -2.717839, -3.906526, -1.431595, -66.236679, -642.022583
1733470115.817330, 5.887492, -2.143708, -0.444573, 1.206729, -2.271340, -3.720249, -0.828659, -65.058899, -641.986389
1733470115.827335, 5.785139, -1.246332, -1.080533, 0.833671, -1.681651, -3.437253, -0.622299, -64.107895, -643.233521
1733470115.837326, 6.205771, -0.470311, -1.030405, 0.610225, -1.264256, -3.205398, -0.636383, -63.048813, -642.626709
1733470115.847331, 6.684611, 0.359579, -1.390582, 0.446766, -0.776281, -3.007425, 0.022034, -62.051422, -642.747681
1733470115.856390, 7.105392, 1.042376, -1.634043, 0.299908, -0.303146, -2.831681, 0.242767, -61.026123, -643.719788
1733470115.867329, 7.915979, 1.757344, -1.494431, 0.185006, 0.031418, -2.616876, 0.754288, -60.079514, -642.653259
1733470115.876865, 8.893112, 2.440889, -1.172261, 0.164869, 0.106126, -2.344368, 1.121201, -59.118835, -643.298096
1733470115.887328, 9.734076, 2.992154, -1.093552, 0.197066, 0.054966, -2.024056, 1.587372, -58.515167, -642.596497
1733470115.897331, 10.458322, 3.386000, -0.750433, 0.271628, -0.189338, -1.675548, 1.693909, -57.850571, -642.850037
1733470115.906374, 10.553192, 3.353828, -0.456993, 0.324654, -0.479878, -1.360315, 1.675049, -57.599854, -643.950195
1733470115.917333, 10.110414, 2.924966, -0.469114, 0.316482, -0.711119, -1.165398, 1.686905, -57.085907, -643.595764
1733470115.927328, 9.603292, 2.481590, -0.847098, 0.298210, -0.754297, -1.023742, 1.690842, -56.485199, -644.278687
1733470115.937328, 9.473407, 2.634969, -1.336713, 0.297881, -0.644116, -0.859582, 1.445709, -56.322495, -644.076416
1733470115.947334, 9.266009, 2.500444, -1.382651, 0.282248, -0.464878, -0.725886, 1.084595, -56.250290, -643.668213
1733470115.957326, 9.726744, 2.111686, -1.155651, 0.229481, -0.317213, -0.606052, 1.004303, -56.203522, -644.636169
1733470115.967330, 11.076924, 1.828272, -0.820313, 0.180580, -0.289540, -0.475750, 0.475800, -56.092270, -644.532349
1733470115.977329, 12.203545, 1.163732, -0.419285, 0.196438, -0.463919, -0.412891, -0.061234, -56.113800, -645.666870
1733470115.987333, 13.045257, -0.035015, -0.190189, 0.262965, -0.707245, -0.492589, -0.959656, -55.796036, -645.489258
1733470115.997339, 14.357878, -1.323245, 0.016610, 0.274229, -1.026327, -0.693705, -1.073593, -55.570572, -645.666016
1733470116.006421, 16.505626, -2.002151, -0.210690, 0.213735, -1.227644, -0.836779, -1.838470, -55.294678, -646.696289
1733470116.017323, 19.583223, -1.846079, -1.608455, 0.147391, -1.030590, -0.879874, -2.296219, -55.101364, -646.466125
1733470116.027326, 23.275231, -1.342698, -3.589507, 0.180965, -0.609586, -0.735637, -2.263321, -55.016815, -647.306641
1733470116.037325, 26.645669, -0.904110, -4.834941, 0.454987, -0.225514, -0.386415, -2.517227, -55.041870, -647.240906
1733470116.047322, 27.970111, -0.726341, -4.606893, 0.820049, -0.004149, -0.012973, -2.280472, -55.381149, -647.158752
1733470116.057314, 28.210579, -0.217872, -2.600103, 0.950232, 0.058882, 0.401781, -2.118118, -55.878128, -646.428772
1733470116.067325, 27.344476, 0.693121, -0.470610, 0.789013, 0.237646, 0.790527, -2.365936, -56.488800, -646.572632
1733470116.076728, 25.435550, 0.537199, 0.763152, 0.380370, 0.764351, 0.897684, -2.247223, -57.110153, -645.650879
1733470116.087335, 24.438215, 0.390105, 1.934814, -0.206817, 1.308488, 0.817855, -2.578415, -57.228653, -645.781433
1733470116.097339, 25.157074, 0.357035, 2.969858, -0.710406, 1.560270, 0.661823, -2.730606, -57.512054, -645.008057
1733470116.107319, 26.251972, 1.091756, 3.250877, -0.830388, 1.457251, 0.387700, -2.294312, -57.508957, -644.278687
1733470116.117318, 28.554895, 3.261800, 3.922301, -0.624248, 0.740236, 0.229401, -2.480911, -57.661819, -645.222229
1733470116.127320, 31.211411, 5.300164, 4.472219, -0.215169, -0.331643, 0.169513, -2.582977, -57.728638, -645.195435
