SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733470025.456977, 1.889025, -9.352051, -2.212991, 0.064834, -0.260172, -0.113083, -12.017715, -74.127090, -643.182922
1733470025.466852, 1.827374, -9.560047, -2.594417, 0.182307, -0.350845, -0.104412, -11.839951, -74.383789, -642.386963
1733470025.476746, 1.701679, -10.082282, -3.330484, 0.304404, -0.254280, -0.111480, -11.946167, -74.267242, -643.061951
1733470025.487551, 1.793706, -10.209474, -3.678691, 0.435476, -0.083216, -0.082572, -12.203995, -74.393433, -642.433472
1733470025.497534, 1.179444, -10.748020, -3.362656, 0.603478, -0.037932, -0.088892, -12.185837, -74.542953, -642.819580
1733470025.507544, -0.266355, -12.617293, -2.903718, 0.866622, -0.228874, -0.302367, -12.144897, -74.943481, -642.487915
1733470025.517545, -0.436643, -12.401815, -2.214188, 1.246377, -0.663794, -0.484550, -12.145996, -75.123016, -641.456055
1733470025.527549, -0.441132, -12.808380, -1.373823, 1.597155, -1.177994, -0.682835, -12.200897, -75.438507, -642.068848
1733470025.537523, -0.670077, -13.558065, -0.297629, 1.795925, -1.771476, -0.940851, -12.261871, -75.486465, -641.494629
1733470025.547528, -1.094300, -13.891457, 0.385317, 1.840935, -2.341591, -1.248346, -12.224686, -75.589310, -642.125488
1733470025.557517, -1.466299, -13.967324, -0.137667, 1.784200, -2.678728, -1.554893, -12.275970, -75.430634, -641.900574
1733470025.567571, -1.397466, -13.593230, -1.691055, 1.751433, -2.656956, -1.799480, -11.983429, -75.677719, -641.459473
1733470025.577533, -0.915333, -13.239187, -3.052757, 1.802342, -2.386793, -1.958608, -11.835510, -75.406097, -641.970032
1733470025.586750, -0.359878, -12.895170, -3.803040, 1.913831, -2.022274, -2.065193, -11.622025, -75.474472, -641.229126
1733470025.597520, 0.343568, -12.520328, -4.022259, 2.053889, -1.663476, -2.126518, -11.455963, -75.333664, -640.912170
1733470025.607567, 0.896030, -12.471396, -3.773561, 2.213106, -1.402807, -2.160742, -10.956451, -75.424591, -640.798889
1733470025.617510, 1.197999, -12.588862, -3.030161, 2.342149, -1.285693, -2.225846, -10.339676, -75.557037, -639.958862
1733470025.626522, 1.470339, -12.559084, -2.232144, 2.437738, -1.319773, -2.310819, -9.794189, -75.423569, -640.122070
