SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733470147.830867, 3.678691, -12.236016, -0.505625, 0.310297, 0.110175, -0.492614, -7.540787, -72.349838, -641.697815
1733470147.840795, 3.380762, -12.719196, -0.462081, 0.514825, -0.019200, -0.687184, -7.062057, -72.254333, -642.723877
1733470147.850865, 3.074305, -13.593529, -0.031424, 0.793996, -0.427374, -0.944402, -7.001038, -72.078323, -642.650452
1733470147.860878, 2.247557, -14.434193, 0.090680, 1.010858, -0.864232, -1.221785, -6.767029, -72.079819, -642.459839
1733470147.870475, 2.247557, -14.434193, 0.090680, 1.159009, -1.198387, -1.449994, -6.153305, -71.878662, -642.472900
1733470147.880859, 2.507777, -13.702764, -1.583465, 1.316819, -1.388024, -1.569053, -5.630951, -71.545273, -641.789124
1733470147.890861, 2.302175, -13.298294, -2.571373, 1.459513, -1.366135, -1.617227, -5.472885, -71.391724, -641.299072
1733470147.900078, 2.302175, -13.298294, -2.571373, 1.561411, -1.192392, -1.646493, -5.089737, -71.300751, -641.811157
1733470147.910013, 2.452411, -12.986449, -3.196409, 1.663272, -0.971453, -1.650660, -5.040222, -71.187576, -641.167236
1733470147.920869, 2.635268, -11.848605, -3.232472, 1.784920, -0.815765, -1.637446, -4.728500, -71.095886, -641.615662
1733470147.930869, 1.781436, -11.397447, -2.035520, 1.855773, -0.811401, -1.679688, -4.503281, -70.983566, -641.474915
1733470147.940889, 0.656759, -10.869227, -1.193210, 1.822442, -0.937081, -1.824892, -4.037201, -71.087723, -640.383545
1733470147.949917, 0.656759, -10.869227, -1.193210, 1.714334, -1.018488, -2.054974, -3.681412, -70.575943, -641.271851
1733470147.960874, -0.203358, -9.390657, -2.044349, 1.619506, -0.941042, -2.310950, -2.729034, -70.267624, -640.309326
1733470147.970146, -0.203358, -9.390657, -2.044349, 1.604672, -0.801099, -2.555718, -2.109314, -69.848221, -640.607056
1733470147.980869, 0.270395, -7.780856, -2.530073, 1.651554, -0.692006, -2.843810, -1.570343, -69.162552, -640.153625
1733470147.990872, 0.902764, -6.616825, -2.323573, 1.727824, -0.661117, -3.133952, -0.821655, -68.420120, -639.254456
1733470147.999912, 0.902764, -6.616825, -2.323573, 1.844581, -0.719687, -3.368067, 0.046906, -67.520538, -640.068665
1733470148.010880, 2.921824, -3.994576, -1.836203, 2.004371, -0.852565, -3.514008, 0.950989, -66.679886, -639.236328
1733470148.020885, 4.257040, -2.308459, -1.369184, 2.157260, -0.982706, -3.519583, 2.092133, -65.744232, -639.298523
1733470148.030874, 5.728576, -0.749834, -0.715268, 2.271109, -1.158666, -3.258457, 1.562241, -65.179138, -639.651306
1733470148.040883, 4.678719, -3.212719, -0.209193, 2.360173, -1.328380, -3.244039, 2.175720, -64.459030, -638.996887
1733470148.049932, 4.678719, -3.212719, -0.209193, 2.361440, -1.542221, -3.462739, 2.797302, -63.352478, -639.421631
1733470148.060875, 4.999392, -0.702399, 2.534113, 2.182466, -1.843005, -3.622809, 3.318710, -62.468613, -639.451721
1733470148.070867, 6.198139, 0.144251, 2.472462, 1.896122, -2.119150, -3.656353, 3.998901, -61.067139, -639.980469
1733470148.080867, 6.866421, 1.335366, 1.686715, 1.566694, -2.059760, -3.492918, 4.415527, -59.809418, -640.500122
1733470148.090869, 7.532458, 2.370709, 0.738462, 1.231666, -1.594402, -3.178205, 4.011826, -58.901535, -640.054321
1733470148.100189, 8.768015, 2.775029, 1.269825, 0.929612, -1.121905, -2.898147, 4.177063, -57.974854, -640.846436
1733470148.110863, 8.892215, 3.286191, 1.794753, 0.678544, -0.775138, -2.607039, 4.228973, -57.108673, -640.869019
1733470148.120871, 9.116521, 3.227833, 2.209998, 0.452072, -0.653471, -2.404477, 4.276581, -56.006775, -641.602905
1733470148.130869, 9.816077, 3.802292, 2.412308, 0.306166, -0.671161, -2.259902, 4.128143, -55.251541, -641.903931
1733470148.140864, 11.066299, 4.649091, 2.840122, 0.234290, -0.821344, -2.058432, 4.143921, -54.540649, -641.713745
1733470148.150871, 11.632528, 5.011962, 3.080440, 0.146362, -1.144791, -1.844135, 3.959824, -54.045639, -643.231018
1733470148.160867, 12.145186, 5.604377, 2.238728, 0.111434, -1.533212, -1.662073, 4.022293, -53.392075, -643.465149
1733470148.170863, 12.974029, 5.844546, 0.588525, 0.209732, -1.778779, -1.474543, 3.567429, -52.768250, -644.281494
1733470148.180838, 13.550882, 6.016778, -0.419883, 0.398795, -1.830814, -1.275862, 2.686096, -52.283768, -645.083008
1733470148.190868, 14.562432, 6.460155, -1.029058, 0.575598, -1.594790, -1.149872, 2.122131, -52.075043, -644.749390
1733470148.200867, 16.985813, 6.505046, -1.105822, 0.646222, -1.247494, -0.968851, 2.108475, -51.932648, -646.241821
1733470148.210866, 18.934394, 6.644807, -1.283891, 0.734685, -1.002428, -0.593882, 1.777252, -52.145233, -645.616821
1733470148.220866, 20.380642, 7.015609, -1.302446, 0.912372, -0.708797, -0.039434, 1.492508, -52.689911, -645.710205
1733470148.230877, 22.090850, 7.028778, -0.131382, 1.084046, -0.569031, 0.663422, 0.387619, -53.472778, -646.605713
1733470148.240871, 23.106440, 6.562956, 1.441160, 1.293887, -0.823411, 1.335454, -0.452881, -54.672394, -646.371948
1733470148.249962, 23.811832, 5.579088, 1.847127, 1.469308, -1.285585, 1.841555, -1.842468, -56.013779, -647.595154
1733470148.260868, 23.662793, 5.281609, 1.003919, 1.684939, -1.531836, 2.175765, -3.098923, -57.516129, -647.208313
1733470148.270864, 24.763976, 4.831200, 1.184831, 1.922585, -1.500876, 2.295001, -4.592728, -59.053726, -647.793152
1733470148.280872, 26.730214, 4.182521, 2.036269, 2.047585, -1.565001, 2.379738, -6.080734, -60.662735, -648.355164
1733470148.290862, 28.935423, 3.741090, 2.335095, 2.096020, -1.680696, 2.294110, -7.210815, -62.403214, -648.216309
1733470148.299990, 32.555456, 4.170400, 2.199374, 2.203776, -2.087003, 2.434175, -7.997284, -63.998444, -649.216003
1733470148.310865, 34.740165, 4.641758, 1.276409, 2.521987, -2.791681, 2.931291, -8.913223, -65.824219, -648.093872
1733470148.320861, 34.819773, 5.797859, -0.180912, 2.979121, -3.351164, 3.835468, -10.071793, -68.283142, -648.290527
1733470148.330860, 31.828218, 7.099257, -0.263213, 3.338516, -3.375151, 5.140387, -10.996384, -70.758896, -648.664185
1733470148.340862, 25.589826, 8.056339, 0.952593, 3.286944, -2.763592, 6.560088, -12.859512, -73.568558, -647.189819
1733470148.349990, 15.171607, 8.056339, 3.088221, 2.753465, -1.486210, 7.989362, -15.206390, -76.201782, -647.567566
1733470148.360850, 2.037915, 4.545990, 6.590489, 1.598258, -0.123905, 8.881036, -18.125107, -78.265106, -646.848755
1733470148.370865, -11.777377, -1.046116, 8.791508, 0.028699, 0.944083, 8.866590, -20.824005, -79.645920, -647.726074
1733470148.380857, -21.750424, -7.484873, 8.319551, -1.539303, 1.427318, 7.807239, -22.637680, -79.938416, -649.002380
1733470148.390856, -25.138369, -12.454338, 4.342633, -2.556195, 1.095402, 6.202655, -23.914581, -79.902130, -649.212341
1733470148.400866, -25.671977, -15.014787, -2.694973, -2.513578, 0.177901, 4.753437, -25.687607, -79.496338, -650.585693
1733470148.410916, -26.710013, -17.232865, -9.153631, -1.636373, -0.526409, 3.489564, -26.684540, -79.346008, -650.840027
1733470148.419880, -26.589255, -19.756204, -12.058696, -0.552915, -0.487973, 2.164965, -26.684540, -79.346008, -650.840027
1733470148.430858, -24.800039, -19.927090, -10.546758, 0.246416, -0.030643, 0.896785, -27.303741, -79.749115, -650.404480
1733470148.440001, -22.764518, -18.424280, -7.550414, 0.624230, 0.470390, -0.170921, -27.303741, -79.749115, -650.404480
1733470148.450864, -20.134787, -16.803555, -4.438551, 0.692438, 0.977464, -1.108011, -25.468155, -80.268585, -649.845215
1733470148.460911, -16.971149, -14.156316, -1.300949, 0.585582, 1.122353, -1.845770, -24.132370, -80.106110, -649.467346
1733470148.470841, -14.368502, -11.299734, 0.081552, 0.436343, 0.905775, -2.303773, -22.792923, -80.211151, -648.982666
1733470148.480848, -12.748525, -9.222315, 0.346112, 0.298850, 0.649111, -2.591119, -21.811600, -79.770752, -648.911987
1733470148.490856, -11.693131, -7.345560, 0.299425, 0.159590, 0.428742, -2.828641, -20.656387, -79.475021, -649.156250
1733470148.500847, -10.670358, -5.442619, -0.007183, 0.045184, 0.266291, -3.062346, -19.501785, -79.012497, -648.335571
1733470148.510845, -9.722254, -3.765930, -0.520589, -0.007535, 0.157847, -3.284427, -18.148453, -78.318588, -648.913208
1733470148.520845, -8.763077, -2.539051, -0.995240, -0.002547, 0.121524, -3.510875, -16.919373, -77.688110, -648.943054
1733470148.530854, -7.475895, -1.448043, -1.459715, 0.066620, 0.098688, -3.757577, -15.620575, -77.089676, -648.322571
1733470148.540853, -5.896320, -0.297330, -2.022352, 0.206112, 0.095706, -3.966347, -14.292099, -76.180771, -648.976074
1733470148.550852, -4.272752, 0.801609, -2.120814, 0.402891, 0.154573, -4.118683, -12.861679, -75.603363, -648.692383
1733470148.560850, -2.609081, 1.785775, -1.569399, 0.617764, 0.157550, -4.243716, -12.861679, -75.603363, -648.692383
1733470148.570852, -0.817770, 2.651578, -0.710779, 0.814913, -0.028855, -4.309397, -11.598358, -74.688690, -648.573914
1733470148.580857, 0.678457, 3.339462, 0.083947, 0.982983, -0.414252, -4.291811, -10.439224, -73.767273, -647.380371
1733470148.590939, 1.924040, 4.072986, 0.398784, 1.084972, -0.832723, -4.219115, -9.479965, -72.881699, -647.678711
1733470148.600840, 3.313725, 4.979341, 0.383222, 1.088630, -1.163535, -4.041156, -8.240112, -72.102127, -647.794434
1733470148.610840, 4.836138, 5.486014, 0.112827, 1.034821, -1.380623, -3.744688, -7.685013, -71.180939, -647.750244
1733470148.620836, 6.280889, 5.673360, -0.398635, 0.927843, -1.377168, -3.374492, -7.174835, -70.257736, -646.879883
