SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733468604.633211, 2.190395, -8.293515, -4.854992, -0.465955, 0.502280, -0.386835, -34.991562, -61.526398, -662.660461
1733468604.643208, 2.096872, -8.547300, -3.979014, -0.619379, 0.583065, -0.407235, -34.557190, -61.179092, -662.493530
1733468604.653220, 2.077718, -8.708909, -3.787777, -0.767566, 0.774393, -0.440332, -34.011276, -60.666443, -662.772705
1733468604.663239, 1.910573, -8.741081, -3.906589, -0.892570, 0.976233, -0.453667, -33.620071, -60.345047, -662.081116
1733468604.673234, 1.986589, -8.202535, -4.041562, -0.931373, 1.042052, -0.505559, -32.984985, -59.973633, -663.395935
1733468604.683243, 2.641104, -7.966556, -4.246117, -0.980797, 0.986888, -0.552040, -32.437607, -59.302322, -663.204102
1733468604.693236, 3.365499, -8.233959, -4.806958, -1.160657, 1.436001, -0.438761, -31.595505, -58.793015, -662.670654
1733468604.703233, 3.784485, -8.546402, -6.643012, -1.252224, 2.249780, -0.333204, -30.878586, -58.268219, -664.071472
1733468604.713231, 3.526509, -8.770559, -7.872734, -1.039328, 2.495000, -0.419082, -29.956421, -57.990356, -663.170593
1733468604.723247, 3.237858, -8.883087, -7.002441, -0.527280, 1.913392, -0.654296, -28.895416, -57.736481, -663.787659
1733468604.733208, 3.037194, -8.743026, -5.862352, 0.140055, 0.950250, -0.949164, -28.639908, -57.678391, -663.435852
1733468604.743215, 2.637063, -8.382998, -5.316923, 0.651458, -0.081973, -1.309998, -28.011459, -57.720596, -662.927246
1733468604.753212, 2.328361, -8.514829, -4.670788, 0.847109, -1.077331, -1.653417, -28.280701, -57.828812, -663.376404
1733468604.763202, 1.793257, -9.222914, -4.913500, 0.843377, -1.426397, -2.087723, -28.389267, -57.991013, -662.660767
1733468604.773231, 1.909525, -8.633342, -6.174796, 0.721966, -1.152727, -2.386088, -27.907242, -57.833817, -663.262695
1733468604.783222, 2.949208, -8.026262, -6.981193, 0.624494, -0.700258, -2.497624, -27.956268, -57.932587, -662.898193
1733468604.793223, 4.329764, -7.596802, -7.243507, 0.652750, -0.383742, -2.432029, -27.209793, -57.996643, -662.098511
1733468604.802420, 4.329764, -7.596802, -7.243507, 0.690221, -0.054354, -2.107442, -26.493668, -57.670410, -662.572998
1733468604.813220, 6.249914, -5.260959, -5.296124, 0.244945, 0.137118, -1.494819, -26.218597, -57.855148, -661.864746
1733468604.823202, 7.085789, -5.100398, -5.047725, -0.131388, 0.243007, -0.815933, -26.055527, -57.816818, -662.582031
1733468604.833216, 7.104345, -4.396203, -5.102044, -0.320479, 0.530935, -0.193816, -26.309738, -57.745804, -662.792419
1733468604.843218, 7.441179, -5.497536, -4.342783, -0.472078, 0.313211, 0.258583, -26.483322, -57.457199, -662.985596
1733468604.853249, 7.363517, -6.620117, -3.953575, -0.544427, -0.452585, 0.495796, -27.816803, -57.550491, -663.414368
1733468604.863224, 6.053589, -6.873454, -3.936965, -0.509714, -1.350494, 0.360640, -28.733932, -57.264297, -663.704895
1733468604.873227, 4.655375, -7.309498, -4.430620, -0.350809, -2.307079, -0.004063, -29.676025, -57.263809, -664.375732
1733468604.883214, 3.621380, -7.842656, -5.898265, -0.030229, -3.074088, -0.418188, -31.084808, -57.280273, -664.073120
1733468604.893210, 3.153014, -8.171560, -7.292439, 0.421628, -3.641630, -0.909344, -32.414825, -57.683029, -663.837158
1733468604.903226, 3.249231, -8.323741, -8.257153, 1.002010, -4.178153, -1.358091, -34.051178, -57.883865, -664.490234
1733468604.913216, 3.344849, -7.977330, -9.212289, 1.637665, -4.621185, -1.716091, -35.067383, -58.495132, -663.582764
1733468604.923214, 3.519925, -7.330746, -8.421305, 1.897969, -5.207595, -1.858984, -36.824677, -59.023712, -663.322632
1733468604.933205, 2.040309, -6.639121, -6.802077, 1.546379, -6.081650, -1.861859, -39.572495, -59.996948, -663.721619
1733468604.943230, 0.111779, -6.096535, -9.097667, 1.630790, -6.282501, -2.026369, -42.012451, -60.715591, -662.706726
1733468604.953221, 0.723199, -5.895871, -10.059538, 1.760339, -5.630005, -2.297374, -44.330750, -61.259750, -662.847961
1733468604.963209, 1.457620, -6.357204, -9.714922, 1.481633, -4.628732, -2.617852, -45.772202, -62.266632, -661.428284
1733468604.973219, 2.003947, -6.434267, -11.656769, 1.094336, -3.042179, -2.907462, -45.560928, -62.973160, -661.094604
1733468604.983205, 3.317316, -6.002712, -12.346299, 1.045199, -1.659784, -2.924452, -45.504196, -63.362961, -661.275452
1733468604.993214, 4.458752, -5.518635, -12.368147, 1.187529, -0.639387, -2.741416, -44.928894, -64.287720, -660.607910
1733468605.003245, 5.406706, -4.654328, -12.096255, 1.219098, 0.134185, -2.401145, -44.482040, -64.886978, -660.572449
